1|20120309|11001|3|Clothing|24|Tights|2012-03-09
2|20120309|11001|4|Accessories|30|Fenders|2012-03-09
3|20120309|11001|4|Accessories|32|Hydration Packs|2012-03-09
4|20120424|11017|3|Clothing|22|Shorts|2012-04-24
5|20120424|11017|4|Accessories|28|Bottles and Cages|2012-04-24
6|20120406|11019|4|Accessories|34|Locks|2012-04-06
7|20120414|11026|4|Accessories|28|Bottles and Cages|2012-04-14
8|20120310|11033|3|Clothing|21|Jerseys|2012-03-10
9|20120310|11033|3|Clothing|23|Socks|2012-03-10
10|20120310|11033|3|Clothing|24|Tights|2012-03-10
11|20120303|11037|4|Accessories|31|Helmets|2012-03-03
12|20120303|11037|4|Accessories|32|Hydration Packs|2012-03-03
13|20120311|11047|3|Clothing|22|Shorts|2012-03-11
14|20120311|11047|3|Clothing|23|Socks|2012-03-11
15|20120311|11047|4|Accessories|30|Fenders|2012-03-11
16|20120426|11048|4|Accessories|32|Hydration Packs|2012-04-26
17|20120426|11048|4|Accessories|36|Pumps|2012-04-26
18|20120312|11054|3|Clothing|18|Bib-Shorts|2012-03-12
19|20120408|11057|4|Accessories|36|Pumps|2012-04-08
20|20120417|11070|4|Accessories|29|Cleaners|2012-04-17
21|20120417|11070|4|Accessories|31|Helmets|2012-04-17
22|20120405|11078|4|Accessories|31|Helmets|2012-04-05
23|20120314|11079|3|Clothing|21|Jerseys|2012-03-14
24|20120314|11079|4|Accessories|27|Bike Stands|2012-03-14
25|20120314|11079|4|Accessories|37|Tires and Tubes|2012-03-14
26|20120326|11109|3|Clothing|25|Vests|2012-03-26
27|20120309|11110|3|Clothing|21|Jerseys|2012-03-09
28|20120324|11111|3|Clothing|20|Gloves|2012-03-24
29|20120324|11111|4|Accessories|30|Fenders|2012-03-24
30|20120324|11111|4|Accessories|32|Hydration Packs|2012-03-24
31|20120427|11123|4|Accessories|31|Helmets|2012-04-27
32|20120427|11123|4|Accessories|33|Lights|2012-04-27
33|20120427|11123|4|Accessories|37|Tires and Tubes|2012-04-27
34|20120325|11125|4|Accessories|36|Pumps|2012-03-25
35|20120427|11132|3|Clothing|23|Socks|2012-04-27
36|20120321|11142|3|Clothing|19|Caps|2012-03-21
37|20120410|11150|3|Clothing|21|Jerseys|2012-04-10
38|20120410|11150|4|Accessories|31|Helmets|2012-04-10
39|20120304|11223|4|Accessories|35|Panniers|2012-03-04
40|20120303|11276|3|Clothing|23|Socks|2012-03-03
41|20120303|11276|4|Accessories|34|Locks|2012-03-03
42|20120303|11287|3|Clothing|24|Tights|2012-03-03
43|20120303|11287|4|Accessories|33|Lights|2012-03-03
44|20120307|11300|4|Accessories|31|Helmets|2012-03-07
45|20120325|11316|3|Clothing|25|Vests|2012-03-25
46|20120325|11316|4|Accessories|28|Bottles and Cages|2012-03-25
47|20120325|11316|4|Accessories|34|Locks|2012-03-25
48|20120417|11331|3|Clothing|20|Gloves|2012-04-17
49|20120417|11331|3|Clothing|24|Tights|2012-04-17
50|20120317|11335|4|Accessories|26|Bike Racks|2012-03-17
51|20120301|11338|4|Accessories|32|Hydration Packs|2012-03-01
52|20120316|11344|4|Accessories|27|Bike Stands|2012-03-16
53|20120304|11358|4|Accessories|27|Bike Stands|2012-03-04
54|20120304|11358|4|Accessories|28|Bottles and Cages|2012-03-04
55|20120423|11364|3|Clothing|24|Tights|2012-04-23
56|20120331|11387|4|Accessories|31|Helmets|2012-03-31
57|20120401|11413|3|Clothing|25|Vests|2012-04-01
58|20120401|11413|4|Accessories|37|Tires and Tubes|2012-04-01
59|20120406|11431|4|Accessories|27|Bike Stands|2012-04-06
60|20120410|11446|3|Clothing|22|Shorts|2012-04-10
61|20120311|11449|4|Accessories|28|Bottles and Cages|2012-03-11
62|20120409|11464|4|Accessories|27|Bike Stands|2012-04-09
63|20120313|11495|4|Accessories|33|Lights|2012-03-13
64|20120409|11498|3|Clothing|21|Jerseys|2012-04-09
65|20120409|11498|3|Clothing|22|Shorts|2012-04-09
66|20120409|11498|4|Accessories|29|Cleaners|2012-04-09
67|20120407|11500|4|Accessories|36|Pumps|2012-04-07
68|20120325|11502|3|Clothing|21|Jerseys|2012-03-25
69|20120325|11502|3|Clothing|23|Socks|2012-03-25
70|20120322|11505|4|Accessories|30|Fenders|2012-03-22
71|20120322|11505|4|Accessories|34|Locks|2012-03-22
72|20120322|11505|4|Accessories|37|Tires and Tubes|2012-03-22
73|20120403|11510|3|Clothing|25|Vests|2012-04-03
74|20120426|11519|4|Accessories|37|Tires and Tubes|2012-04-26
75|20120302|11523|3|Clothing|19|Caps|2012-03-02
76|20120302|11523|3|Clothing|25|Vests|2012-03-02
77|20120324|11530|4|Accessories|29|Cleaners|2012-03-24
78|20120314|11562|4|Accessories|34|Locks|2012-03-14
79|20120312|11613|3|Clothing|25|Vests|2012-03-12
80|20120419|11618|4|Accessories|36|Pumps|2012-04-19
81|20120317|11631|4|Accessories|37|Tires and Tubes|2012-03-17
82|20120301|11640|4|Accessories|27|Bike Stands|2012-03-01
83|20120301|11640|4|Accessories|33|Lights|2012-03-01
84|20120424|11641|4|Accessories|34|Locks|2012-04-24
85|20120301|11647|4|Accessories|32|Hydration Packs|2012-03-01
86|20120301|11647|4|Accessories|33|Lights|2012-03-01
87|20120403|11651|3|Clothing|21|Jerseys|2012-04-03
88|20120313|11711|3|Clothing|22|Shorts|2012-03-13
89|20120313|11711|4|Accessories|32|Hydration Packs|2012-03-13
90|20120404|11719|4|Accessories|26|Bike Racks|2012-04-04
91|20120404|11719|4|Accessories|34|Locks|2012-04-04
92|20120419|11749|4|Accessories|33|Lights|2012-04-19
93|20120322|11753|3|Clothing|22|Shorts|2012-03-22
94|20120322|11753|4|Accessories|35|Panniers|2012-03-22
95|20120425|11758|4|Accessories|34|Locks|2012-04-25
96|20120309|11808|4|Accessories|29|Cleaners|2012-03-09
97|20120229|11845|4|Accessories|30|Fenders|2012-02-29
98|20120402|11875|3|Clothing|22|Shorts|2012-04-02
99|20120402|11875|3|Clothing|24|Tights|2012-04-02
100|20120405|11888|3|Clothing|22|Shorts|2012-04-05
101|20120405|11888|4|Accessories|35|Panniers|2012-04-05
102|20120322|11904|4|Accessories|36|Pumps|2012-03-22
103|20120325|11911|3|Clothing|18|Bib-Shorts|2012-03-25
104|20120402|11913|4|Accessories|27|Bike Stands|2012-04-02
105|20120407|11917|3|Clothing|23|Socks|2012-04-07
106|20120315|11918|4|Accessories|32|Hydration Packs|2012-03-15
107|20120315|11918|4|Accessories|36|Pumps|2012-03-15
108|20120303|11952|3|Clothing|25|Vests|2012-03-03
109|20120303|11952|4|Accessories|31|Helmets|2012-03-03
110|20120410|11963|4|Accessories|30|Fenders|2012-04-10
111|20120410|11963|4|Accessories|36|Pumps|2012-04-10
112|20120406|11968|4|Accessories|34|Locks|2012-04-06
113|20120416|11986|4|Accessories|34|Locks|2012-04-16
114|20120312|11987|3|Clothing|22|Shorts|2012-03-12
115|20120408|11991|3|Clothing|18|Bib-Shorts|2012-04-08
116|20120408|11991|4|Accessories|36|Pumps|2012-04-08
117|20120326|11995|3|Clothing|24|Tights|2012-03-26
118|20120327|11997|4|Accessories|28|Bottles and Cages|2012-03-27
119|20120408|12002|3|Clothing|25|Vests|2012-04-08
120|20120322|12038|3|Clothing|21|Jerseys|2012-03-22
121|20120330|12056|3|Clothing|20|Gloves|2012-03-30
122|20120418|12089|3|Clothing|24|Tights|2012-04-18
123|20120417|12113|3|Clothing|25|Vests|2012-04-17
124|20120417|12113|4|Accessories|29|Cleaners|2012-04-17
125|20120319|12129|4|Accessories|28|Bottles and Cages|2012-03-19
126|20120306|12136|3|Clothing|24|Tights|2012-03-06
127|20120306|12136|4|Accessories|34|Locks|2012-03-06
128|20120411|12165|4|Accessories|34|Locks|2012-04-11
129|20120410|12166|3|Clothing|22|Shorts|2012-04-10
130|20120410|12166|4|Accessories|37|Tires and Tubes|2012-04-10
131|20120306|12226|4|Accessories|28|Bottles and Cages|2012-03-06
132|20120420|12243|4|Accessories|34|Locks|2012-04-20
133|20120421|12248|3|Clothing|22|Shorts|2012-04-21
134|20120421|12248|4|Accessories|35|Panniers|2012-04-21
